issue_id,diagnostic_source,component,problem,root_cause,severity,classification,proposed_correction,mathematical_change,expected_downstream_effect,validation_required,status,use_m7_cv_c2_for_sdv
PM7-023,"m6 next-poss corr",validation,Wrong primary SDV metric,Wrong estimand,medium,confirmed_defect,Use M7 validation gates not next-poss corr,Metric change,Honest SDV tests,post-m7 oos,FIXED_VALIDATION,YES
PM7-024,"m15 bakeoff",validation,No external bakeoff,Harness absent,medium,limitation,Deferred,None,None,Report,LEFT_UNCHANGED_LIMITATION,NO
PM7-025,"m15 leakage fusion nested",fusion,Components may overlap stack Y,Protocol,medium,research_question,Future-block target + chrono OOF reduces leak,PM7-004,Less in-sample optimism,Leakage report,PARTIAL_VIA_PM7-004,NO
PM7-026,"PLAN role vector",replacement,Incomplete role vector,v1 subset,medium,limitation,Keep v1 roles; expand later,None,None,Doc,LEFT_UNCHANGED_LIMITATION,NO
PM7-027,"player-value mean O5 role",replacement,Replacement uses mean O5 not focal mix,Convenience,medium,confirmed_defect,Usage-weighted mean of on-court offense roles,role=Σ usage_i role_i / Σusage,Better R1 match,Unit test,FIXED,NO
PM7-028,"m6 not integrated",M6,Integration approval gate,Phase isolation,critical,product_decision,Wire emit (PM7-001) without fusion weights,Fields only,See PM7-001,E2E audit,FIXED_EMIT,YES
PM7-029,"uncertainty on residual Y",uncertainty,Intervals calibrated to misaligned Y,Follows PM7-004,medium,confirmed_defect,Recalibrate on future-block fusion residuals,M12 on new Y,Interval meaning shifts,Coverage OOF,FIXED_VIA_PM7-004,NO
PM7-030,"WAR multi-season",WAR,Only within-season holdout,Two seasons not rolling,high,limitation,Stricter single-season gate; multi-season rolling deferred,calibrated flag honesty,Fewer overclaims,WAR reason string,PARTIAL,NO
PM7-031,"LN LOO not run",DRBL-LN,LOO not run,Audit gap,medium,research_question,Deferred,None,None,Report,LEFT_UNCHANGED_RESEARCH,NO
PM7-032,"m7 age proxy sparse",M7-CV,Age proxy / OREB error,Data,medium,limitation,Document bounds,None,None,Leakage,LEFT_UNCHANGED_LIMITATION,YES
PM7-033,"m7 selection continue≠shoot",M7-CV,Observational≠interventional continue,ID,medium,limitation,Document; matched-state diagnostics only,None,None,Report,LEFT_UNCHANGED_LIMITATION,YES
PM7-034,"R1 bottom 40%",replacement,Ad-hoc R1 pool,Heuristic,medium,product_decision,Keep R1 definition; document,None,None,Doc,LEFT_UNCHANGED_PRODUCT,NO
PM7-035,"unusual tops",leaderboard,Noise from compound defects,PM7-005/006/004,high,research_question,Fixed via sample+attribution+fusion target — not hand ranks,Indirect,Expected large rank moves,before/after ranks,ADDRESSED_INDIRECTLY,NO
PM7-036,"involvement unused in share",DRBL-P,Involvement tracked but unused in credit,Equal share,medium,confirmed_defect,Same as PM7-006,Involvement weights,Same,Tests,FIXED,NO
PM7-037,"emptyRole fallback",replacement,Generic empty role,Sparse coverage,low,limitation,Keep emptyRole prior,None,None,Doc,LEFT_UNCHANGED_LIMITATION,NO
PM7-038,"P and LN shared residual family",fusion,Limited independent info,Shared Y family,medium,research_question,Future Y helps; diversify later,PM7-004,Possible,Ablation,PARTIAL,NO
PM7-039,"PLAN Core v0 honesty",docs,Claims lag Approach B R1,Doc lag,low,product_decision,Update PLAN/remediation honesty notes,Docs,Clearer claims,Doc review,FIXED_DOCS,NO
PM7-040,"m7 age monotonicity",M7-CV,Imperfect age response,Sparse mid-age,low,research_question,Monitor; keep C2,None,None,C1.4 bins,LEFT_UNCHANGED_RESEARCH,YES
